//Scenario: All


ORCHARDS  = {1,2,3,4,5,6,7,8,9,10};
CUSTOMERS = {C1,C2,C3,C4,C5,C6,C7,C8} ;

I = 3 ;
P = 10 ;
C = 8 ;


CGV  = [9,8,8,9,18,12,18,25,5,30] ;

s  = [5, 8, 8, 12, 16, 12 ,18, 25, 3, 25];
r  = [
		[80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000],
		[50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000],
		[72.000,72.000,72.000,72.000,72.000,72.000,72.000,72.000,72.000,72.000]
		];
d = [
	[450.000, 350.000, 325.000, 400.000, 200.000, 400.000, 800.000, 350.000],
	[350.000, 200.000, 275.000, 250.000, 75.000, 150.000, 400.000, 250.000],
	[400.000, 300.000, 300.000, 325.000, 150.000, 250.000, 650.000,300.000]	 
    ];

CSV = [
		[
			[2.8, 2.8, 5.5, 5.5, 3.8, 5.5, 3.3, 3.3, 3.3, 3.3],
			[2.8, 2.8, 5.5, 5.5, 3.8, 5.5, 3.3, 3.3, 3.3, 3.3],
			[3.3, 3.3, 6.1, 6.1, 4.4, 6.1, 3.8, 3.8, 3.8, 3.8],
			[2.8, 2.8, 5.5, 5.5, 3.3, 5.5, 3.3, 3.3, 3.3, 3.3],
			[3.8, 3.8, 3.3, 3.3, 4.4, 2.2, 3.8, 3.8, 3.8, 3.8],
			[16.6, 16.6, 11.1, 12.2, 13.8, 20.6, 15.5, 15.5, 15.5, 15.5],
			[13.8, 13.8, 8.3, 10,11.1, 16.6, 13.3, 13.3, 13.3, 13.3],
			[8.8, 8.8, 5.5, 6.1, 11.1, 13.8, 8.8, 8.8, 8.8, 8.8]
         ],
         [
			[10, 10, 20, 20, 14, 20, 12, 12, 12, 12],
			[10, 10, 20, 20, 14, 20, 12, 12, 12, 12],
			[12, 12, 22, 22, 16, 12, 14, 14, 14, 14],
			[10, 10, 20, 20, 12, 20, 12, 12, 12, 12],
			[14, 14, 12, 12, 16, 8, 14, 14, 14, 14],
			[60, 60, 40, 44, 50, 74, 56, 56, 56, 56],
			[50, 50, 30, 36, 40, 60, 48, 48, 48, 48],
			[32, 32, 20, 22, 40, 50, 32, 32, 32, 32]
         ],
         [
			[5, 5, 10, 10, 7, 10, 6, 6, 6, 6],
			[5, 5, 10, 10, 7, 10, 6, 6, 6, 6],
			[6, 6, 11, 11, 8, 11, 7, 7, 7, 7],
			[5, 5, 10, 10, 6, 10, 6, 6, 6, 6],
			[7, 7, 6, 6, 8, 4, 7, 7, 7, 7],
			[30, 30, 20, 22, 25, 37, 28, 28, 28, 28],
			[25, 25, 15, 18, 20, 30, 24, 24, 24, 24],
			[16, 16, 10, 11, 20, 25, 16, 16, 16, 16]
         ]
       ];

p = [0.08 , 0.22 , 0.70] ;

